"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"999677164","2025-03-05 03:45:21","Spot","Simple Earn Flexible Subscription","ETH","-3E-8","Binance Earn"
"999677164","2025-03-05 03:45:22","Spot","Simple Earn Flexible Subscription","FLOKI","-327.10000000","Binance Earn"
"999677164","2025-03-05 08:07:01","Spot","Transfer Between Main and Funding Wallet","SHIB","0.20000000",""
"999677164","2025-03-05 08:07:01","Funding","Transfer Between Main and Funding Wallet","SHIB","-0.20000000",""
"999677164","2025-03-05 08:07:08","Spot","Transfer Between Main and Funding Wallet","DOGS","0.01000000",""
"999677164","2025-03-05 08:07:09","Funding","Transfer Between Main and Funding Wallet","DOGS","-0.01000000",""
"999677164","2025-03-05 08:07:17","Funding","Transfer Between Main and Funding Wallet","PEPE","-0.21000000",""
"999677164","2025-03-05 08:07:17","Spot","Transfer Between Main and Funding Wallet","PEPE","0.21000000",""
"999677164","2025-03-05 08:07:23","Funding","Transfer Between Main and Funding Wallet","AVA","-1.4E-7",""
"999677164","2025-03-05 08:07:23","Spot","Transfer Between Main and Funding Wallet","AVA","1.4E-7",""
"999677164","2025-03-05 08:07:29","Spot","Transfer Between Main and Funding Wallet","KAITO","2E-8",""
"999677164","2025-03-05 08:07:30","Funding","Transfer Between Main and Funding Wallet","KAITO","-2E-8",""
"999677164","2025-03-05 08:07:37","Spot","Transfer Between Main and Funding Wallet","LAYER","1E-8",""
"999677164","2025-03-05 08:07:38","Funding","Transfer Between Main and Funding Wallet","LAYER","-1E-8",""
"999677164","2025-03-05 08:07:46","Spot","Transfer Between Main and Funding Wallet","DOGE","4E-8",""
"999677164","2025-03-05 08:07:47","Funding","Transfer Between Main and Funding Wallet","DOGE","-4E-8",""
"999677164","2025-03-05 08:08:17","Spot","Simple Earn Flexible Redemption","ETH","3E-8","Binance Earn"
"999677164","2025-03-05 08:08:45","Spot","Simple Earn Flexible Redemption","FLOKI","327.10000000","Binance Earn"
"999677164","2025-03-05 08:09:18","Spot","Binance Convert","USDT","0.02381999",""
"999677164","2025-03-05 08:09:19","Spot","Binance Convert","FLOKI","-327.10000000",""
"999677164","2025-03-05 08:10:48","Spot","Binance Convert","SUI","0.00952068",""
"999677164","2025-03-05 08:10:48","Spot","Binance Convert","USDT","-0.02381000",""
"999677164","2025-03-05 11:21:43","Spot","Binance Convert","SUI","-0.00952068",""
"999677164","2025-03-05 11:21:43","Spot","Binance Convert","USDT","0.02419514",""
"999677164","2025-03-05 11:22:16","Spot","Binance Convert","KAITO","0.01323920",""
"999677164","2025-03-05 11:22:17","Spot","Binance Convert","USDT","-0.02420000",""
"999677164","2025-03-05 13:46:58","Spot","Binance Convert","USDT","0.02436736",""
"999677164","2025-03-05 13:46:59","Spot","Binance Convert","KAITO","-0.01323922",""
"999677164","2025-03-05 13:47:35","Spot","Binance Convert","ADA","0.02514731",""
"999677164","2025-03-05 13:47:35","Spot","Binance Convert","USDT","-0.02437000",""
"999677164","2025-03-05 13:58:25","Spot","Transfer Between Main and Funding Wallet","AVA","-1.4E-7",""
"999677164","2025-03-05 13:58:25","Funding","Transfer Between Main and Funding Wallet","AVA","1.4E-7",""
"999677164","2025-03-05 14:27:37","Spot","Binance Convert","KAITO","0.01310225",""
"999677164","2025-03-05 14:27:37","Spot","Binance Convert","ADA","-0.02514731",""
"999677164","2025-03-05 14:27:59","Spot","Binance Convert","USDT","0.02394584",""
"999677164","2025-03-05 14:27:59","Spot","Binance Convert","KAITO","-0.01310225",""
